Punctum Simple,pun
Tractulus Simple,trac
Tractulus Episema,trac.e
Gravis Simple,grav
Oriscus Simple,ori
Oriscus Oriscus in Salicus a,ori.sa.a
Oriscus Oriscus in Salicus b,ori.sa.b
Stropha Simple,stro
Stropha Episema a,stro.e.a
Liquescent Stropha Simple,stro.e.l
"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",pun.l
Virga Simple,vir
Virga Episema,vir.e
"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",vir.l
"Liquescent Virga aug. or Clivis dim., Cephalicus Episema",vir.l.e
Clivis Simple,cli
"Clivis Simple, langer zweiter Abstrich",cli.long
Clivis Episema a,cli.e.a
Clivis Episema b,cli.e.b
Clivis Episema c,cli.e.c
"Clivis Episema c, langer zweiter Abstrich",cli.e.c.long
"Liquescent Clivis aug., Ancus Simple a",cli.l.a
"Liquescent Clivis aug., Ancus Simple b",cli.l.b
"Liquescent Clivis aug., Ancus Episema a",cli.l.e.a
"Liquescent Clivis aug., Ancus Episema b",cli.l.e.b
"Liquescent Virga with Punctum aug., Porrectus dim. Simple",vir.pun.l
"Liquescent Virga with Punctum aug., Porrectus dim. Episema",vir.pun.l
"Doppelclivis, Porrectus flexus Simple a",dub.cli.a
"Doppelclivis, Porrectus flexus Simple b (nicht kurrent)",dub.cli.b
"Doppelclivis, Porrectus flexus Episema",dub.cli.e
"Doppelclivis, Porrectus flexus Langer zweiter Abstrich",dub.cli.long
Liquescent Clivis with Ancus Simple,cli.anc.l
Liquescent Clivis with Ancus Episema,cli.anc.l.e
Clivis mit Porrectus Simple,cli.por
Pes Rotundus,pes.r
Pes Quadratus,pes.q
Pes Quadratus Episema,pes.q.e
Pes Rotundus Episema,pes.r.e
Pes Pes Quadratus corrected into a Pes Quassus,pes.quas.cor
Pes Quassus,pes.quas
Pes Quassus Episema,pes.quas.e
"Pes Quassus, Liquescence",pes.quas.e.l
Pes Stratus a,pes.stra.a
Pes Stratus b,pes.stra.b
Liquescent Pes aug. Rotundus,pes.r.l
Liquescent Pes aug. Quadratus,pes.q.l
"Liquescent Pes aug. Episema, Rotundus",pes.r.l.e
"Liquescent Pes aug. Episema, Quadratus",pes.q.l.e
Quilismapes Simple two,pes.quil.2
Quilismapes Episema two,pes.quil.2.e
Quilismapes Liquescence two,pes.quil.2.l
"Quilismapes Liquescence, Episema, two",pes.quil.2.e.l
Quilismapes Simple three,pes.quil.3
Quilismapes Episema three,pes.quil.3.e
Quilismapes Liquescence Simple three,pes.quil.3.l
Quilismapes Liquescence Episema three,pes.quil.3.e.l
Quilismatorculus Simple two,tor.quil.2
Quilismatorculus Episema two,tor.quil.2.e
Quilismatorculus Simple three,tor.quil.3
Quilismatorculus Episema three,tor.quil.3.e
Liquescent Quilismapes with Punctum aug. Epiphonus Simple three,pes.quil.3.pun.l
Liquescent Quilismapes with Punctum aug. Epiphonus Episema three,pes.quil.3.pun.l.e
Liquescenz Quilismatorculus aug. Simple three,tor.quil.3.l
Liquescenz Quilismatorculus aug. Simple two,tor.quil.2.l
Liquescenz Quilismatorculus aug. Episema two,tor.quil.2.l.e
Liquescent Quilismatorculus resupinus aug. Simple two,tor.quil.res.2.l
Liquescent Quilismatorculus resupinus aug. Simple three,tor.quil.res.3.l
Liquescent Quilismatorculus resupinus aug. Episema three,tor.quil.res.l.e
Liquescent Quilismatorculus with Ancus Simple,tor.quil.anc
Virga strata (or with Punktum: Pressus maior) Simple,vir.stra
Virga strata (or with Punktum: Pressus maior) Episema,vir.stra.e
Virga strata (or with Punktum: Pressus maior) Liquescence,vir.stra.l
Porrectus Simple,por
Porrectus Episema a,por.e.a
Porrectus Episema b,por.e.b
Porrectus Episema c,por.e.c
Liquescent Porrectus aug. Simple,por.l
Liquescent Porrectus aug. Episema,por.l.e
Torculus Simple,tor
"Torculus Simple, langer zweiter Abstrich",tor.long
"Torculus Episema d, langer zweiter Abstrich",tor.e.d.long
Torculus Episema a,tor.e.a
Torculus Episema b,tor.e.b
Torculus Episema c,tor.e.c
Torculus gedreht a (nicht kurrent),tor.turned.a
Torculus gedreht b (nicht kurrent),tor.turned.b
"Liquescent Torculus aug. Simple, Rotundus (R)",tor.r.l
"Liquescent Torculus aug. Simple, Quadratus",tor.q.l
"Liquescent Torculus aug. Episema, Rotundus",tor.r.l.e
"Liquescent Torculus aug. Episema, Quadratus",tor.q.l.e
Torculus resupinus (RE) Simple,tor.res
Torculus resupinus (RE) Episema a,tor.res.e.a
Torculus resupinus (RE) Episema b,tor.res.e.b
Torculus resupinus (RE) Episema c,tor.res.e.c
Liquescent Torculus resupinus aug. Simple,tor.res.l
"Liquescent Pes with Punctum aug. Epiphonus (not Virga strata) Simple, Rotundus",pes.r.pun.l
"Liquescent Pes with Punctum aug. Epiphonus (not Virga strata) Simple, Quadratus",pes.q.pun.l
"Liquescent Pes with Punctum aug. Epiphonus (not Virga strata) Simple, Quadratus Episema",pes.q.pun.l.e
Torculus resupinus flexus Simple,tor.res.fle
Torculus resupinus flexus Episema,tor.res.fle.e
Climacus (with Punctum-components) Climacusteil,clim
Pes subbipunctis (with Punctum-components) Pes subbipunctisteil Rot. (k-k-nk),pes.sub.r
Pes subbipunctis (with Punctum-components) Pes sub.-teil Quadratus (k-k-nk),pes.sub.q
Quilismapes subbipunctis (with Punctum-components) Quilismapes sub.-teil two,pes.quil.sub.2
Quilismapes subbipunctis (with Punctum-components) Quilismapes sub.-teil three,pes.quil.sub.3
