folio,uri
214r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_214r.jp2
017r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_017r.jp2
193v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_193v.jp2
121r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_121r.jp2
220v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_220v.jp2
037r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_037r.jp2
027r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_027r.jp2
235v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_235v.jp2
171r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_171r.jp2
025r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_025r.jp2
249v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_249v.jp2
226r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_226r.jp2
245w,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_245ar.jp2
100v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_100v.jp2
019r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_019r.jp2
229v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_229v.jp2
267r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_267r.jp2
169r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_169r.jp2
034r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_034r.jp2
088v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_088v.jp2
208v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_208v.jp2
259v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_259v.jp2
084v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_084v.jp2
057v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_057v.jp2
009v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_009v.jp2
059v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_059v.jp2
251v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_251v.jp2
072v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_072v.jp2
175v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_175v.jp2
013r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_013r.jp2
085v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_085v.jp2
149v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_149v.jp2
054r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_054r.jp2
098r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_098r.jp2
086v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_086v.jp2
152r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_152r.jp2
193r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_193r.jp2
066r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_066r.jp2
099v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_099v.jp2
212v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_212v.jp2
143r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_143r.jp2
188v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_188v.jp2
047r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_047r.jp2
