folio,uri
011r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f29
012v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f32
013r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f33
015r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f37
016r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f39
016v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f40
017r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f41
017v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f42
019r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f45
019v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f46
020r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f47
020v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f48
021r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f49
023v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f54
024r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f55
024v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f56
025v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f58
026r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f59
027v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f62
028v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f64
029v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f66
031v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f70
032r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f71
033r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f73
033v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f74
034r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f75
035r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f77
036r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f79
037v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f82
038r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f83
039r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f85
040v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f88
041r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f89
042v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f92
043r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f93
044r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f95
044v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f96
045v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f98
048r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f103
048v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f104
049r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f105
050r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f107
051v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f110
053r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f113
053v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f114
056v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f120
057v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f122
058v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f124
059r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f125
059v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f126
060v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f128
061v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f130
062r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f131
066r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f139
067r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f141
068r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f143
068v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f144
069r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f145
