pagen,neume,id,ulx,uly,lrx,lry
15,Letter L,m-dfc0a34d-8f37-47c5-8165-b8b94d513018,4096,4886,4124,4940
15,Tractulus Simple,m-62a51428-3ff8-4c0c-89c1-5ac923d1489a,1161,6368,1190,6383
15,Letter I,m-6716b1a1-a147-4deb-9abf-9566ceb61d32,3583,6366,3600,6389
15,Tractulus Simple,m-8b5daad9-c997-4a1a-bbdb-e23dbd5e024c,4640,6390,4673,6403
15,Virga Simple,m-f4403ace-6e64-4091-a94e-3cfacf8c8baa,1486,5550,1555,5608
15,Letter T,m-2ca9006f-78ae-4211-ac3f-a0d51472f16d,1329,6241,1400,6273
15,Quilismatorculus Episema three,m-f0c43cbd-c15e-4ef4-ae1c-d6f9a95bfb6c,3686,5905,3834,5995
15,Virga Episema,m-27b68ee4-ce0d-460d-addd-cfae9549d563,1239,5942,1300,6006
15,Clivis Episema c,m-fa4c9caa-18fa-4640-a4b6-902e197ccd45,1420,6004,1484,6069
15,Torculus Episema a,m-ab6dccfe-491d-4a88-8607-b188071d84c8,2956,5971,3030,6029
15,Quilismatorculus resupinus Simple,m-8eae27ab-3feb-4c41-bb31-f3a73024af3b,3158,5933,3300,6013
15,Clivis Episema c,m-02525fce-f1ac-467f-9ead-bd42807d1b21,4534,5984,4567,6041
15,Letter I,m-0b372e12-c9e7-42ca-ae31-a14a7a6ad49e,2365,5931,2383,5958
15,Virga Simple,m-011ce559-eaa6-492c-9b13-1c1726966a95,2584,5616,2646,5680
15,Tractulus Simple,m-bb0b58e3-1ec0-455e-b105-36866edfeebd,3094,6024,3134,6038
15,Virga Simple,m-daf82cd8-e587-4023-8bde-daa6aabc06c0,1196,4974,1258,5034
15,Punctum Simple,m-257038e4-ee3b-4d17-a0c0-8d6fdddadf68,2251,6013,2271,6027
15,Clivis Episema c,m-8bd552fd-51ea-4eee-8a53-88335d6d7d26,3298,5996,3369,6069
15,Punctum Simple,m-11433fcf-75b4-4781-be86-82d0c730d3da,4887,6322,4898,6335
15,Virga Episema,m-c8a4f5b4-efe1-4e9c-a719-4418afb4d809,2186,5600,2253,5672
15,Virga Episema,m-d4522235-5e4b-4526-83e4-8b37dc97c807,4888,6282,4905,6298
15,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-eed53aa9-3249-477c-968a-3cc4a7ca1b75,4860,6012,4883,6048
15,Letter T,m-53675d02-6a21-4eae-8139-1f7426b206dd,2848,5910,2913,5941
15,Clivis Simple,m-ceadd945-5aab-45e5-8b16-54426ded0969,2385,6318,2430,6373
15,Tractulus Simple,m-6e205c79-0deb-46cf-b6e3-c5afe75b006c,3849,6061,3882,6072
15,Quilismapes Simple three,m-8e33283e-7073-4384-9cfb-d4b81b81d4b2,1220,5559,1346,5611
15,Porrectus Simple,m-da329f0c-b3bf-483c-adfe-6a72beac4816,2039,6294,2132,6358
15,Tractulus Simple,m-b8e26f8b-e799-4b78-98e5-df08dacf22b3,2450,6023,2478,6034
15,Tractulus Simple,m-2cf18764-ba65-4936-a4d3-5060397f867a,3240,6345,3279,6366
15,Virga strata (or with Punktum: Pressus maior) Simple,m-e4486d6b-2e55-43d7-bfe2-74c056c8d0b3,2807,5954,2886,6032
15,Tractulus Simple,m-c4982b31-93e3-453d-80c7-9fefe8ea30cd,3328,6338,3359,6361
15,Virga Simple,m-782b3e00-ecff-4797-ad1e-08906acda88c,785,5616,843,5664
15,Tractulus Simple,m-da701852-5305-400f-9a96-6f08e4eb2b40,1552,6360,1583,6374
15,Quilismatorculus Simple three,m-e7d6c4ac-21d8-4fb3-bd83-ea972fd1ea1d,1208,6286,1326,6364
15,Letter L,m-b2409797-1cda-40dc-a902-da6b5021eb4e,4735,5551,4760,5601
15,Virga Episema,m-10c0de96-e7f1-4067-90e9-ca653846f162,3629,6011,3649,6034
15,Letter C,m-71cfc94c-d069-4da9-b91c-97bfc04948e5,3686,6299,3717,6336
15,Tractulus Simple,m-4ecc4aec-b9d5-4cee-ab2d-5287a92b893d,3338,6367,3370,6384
15,Clivis Episema a,m-26c83e3b-f139-4750-a737-dd237111853c,4448,6317,4476,6372
15,Tractulus Simple,m-5484e367-9c9b-4ec6-9416-9325afd2697c,3083,5648,3114,5661
15,Quilismatorculus Episema three,m-d10a7397-7fa7-4ab0-a3d1-1e036bbae7ce,4702,6272,4835,6366
15,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-68339e15-707a-49f8-9286-13be0fd76331,2324,5890,2375,5953
15,Pes Rotundus,m-9121a110-f651-4243-ba51-a78d966228b7,2688,6294,2769,6361
15,Clivis Episema c,m-ae3f0202-2511-4be1-8900-59a6f6aa59f9,838,6291,904,6359
15,Virga Episema,m-1e4ef32d-fb62-499b-8eba-87cb6cab2e0a,1065,5962,1121,6028
15,Tractulus Simple,m-86e5e42b-b103-4f36-86ee-b5568fc5de20,2134,5648,2170,5664
15,Tractulus Simple,m-06c919b0-3344-47ed-b81b-1a061e8dec2d,2219,5643,2259,5659
15,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-d423bf45-9db2-48f7-a2c8-ed889c1e52fb,2779,5595,2836,5670
15,Pes Rotundus,m-cfc24162-914c-473f-9adf-1e31ac8fdf0d,3979,5624,4048,5688
15,Oriscus Oriscus in Salicus b,m-429f62b6-6e2b-4ab5-a820-cb78d4643037,2273,5961,2311,5994
15,Quilismatorculus resupinus Simple,m-ada76988-ce57-4c50-92f4-cd92200d4882,1337,5928,1483,6013
15,Pes Quadratus,m-56b7f8ed-4430-478e-b8d9-5853f661b7a3,867,5936,956,6013
15,Clivis Episema c,m-001c2bdf-fe8a-4ee8-8026-b6e41eec2eb4,4269,6306,4306,6341
15,Letter T,m-4b74d3b0-c896-4fb4-89ed-c41f6be6b9af,4328,5987,4365,6018
15,Torculus Simple,m-2412eb84-9cc0-4339-87ef-764e3ca9c5c5,1103,5574,1206,5653
15,Torculus Simple,m-742f4b52-06c0-4c46-9e43-ced5f921cce8,2193,6310,2262,6370
15,Clivis Simple,m-71b098d0-5876-4256-971c-6957659fd0f0,3755,5644,3780,5696
15,Letter L,m-e28ceb04-c573-4e03-97af-6a21e9375fd3,2008,5943,2027,5995
15,Clivis Simple,m-49903d40-ff5a-4375-bcd5-b7b5bd849150,3240,5605,3287,5666
15,Tractulus Simple,m-db85c08b-fe10-49ed-a566-deff8134ef96,3089,6002,3121,6015
15,Virga Episema,m-e9d98f0b-a03a-4747-a3e3-9268ca0f319e,4106,5607,4161,5675
15,Torculus Episema a,m-10827929-3878-42c6-b879-269bbdbcfd6a,2083,5593,2153,5653
15,Letter S,m-d3306237-e5c3-4e33-a47e-ffbbd2bf0d11,2254,5884,2302,5935
15,Virga Episema,m-bc30c8c7-26fd-495c-9d35-3d58b05efc6a,3647,5981,3675,6011
15,Tractulus Simple,m-7638cffc-37d2-43a9-906a-2487541af84e,1627,5636,1657,5650
15,Letter C,m-1f09e79f-3476-428c-b810-4c54aba07b5b,998,6252,1026,6283
15,Torculus Episema a,m-d27cd017-7a05-418a-91b2-fbae39dfb781,4180,5564,4251,5621
15,Tractulus Simple,m-1d7a987b-3a55-4224-8a36-bc9610b0e64c,4320,6054,4343,6064
15,Quilismatorculus Simple three,m-6c7a53b5-8794-4ade-b4b2-ba651877f5a2,1798,5948,1924,6029
15,Clivis Episema c,m-be7afa1c-1297-443d-99bd-0abefc386287,1852,5558,1910,5629
15,Tractulus Simple,m-ca69a2b0-2fd8-47fc-8fb7-874d9816c51c,3855,6039,3876,6048
15,Tractulus Simple,m-31b93a77-4386-4a6c-a03b-f9479a841fed,3144,6345,3178,6360
15,Tractulus Simple,m-e1b14ea3-53ce-43fc-a40d-5d23080696f5,3247,6375,3284,6390
15,Punctum Simple,m-81812cb5-f73a-43aa-a6f6-7ce114380853,4648,6010,4661,6023
15,Virga Episema,m-8fac4b29-1b10-471f-b154-291fcc195c17,3940,6014,3984,6069
15,Letter S,m-f45a7e73-61fb-4c52-b338-43d156a9de50,4819,5976,4865,6035
15,Torculus Episema b,m-54d2b29b-235e-4c6e-82b6-86cf7f79985f,4041,4976,4122,5033
15,Punctum Simple,m-b7b01d0a-e1fd-41ba-8f5d-d5bf23986b2c,4534,6367,4552,6383
15,Punctum Simple,m-cea90004-3281-4a55-b2e2-09011def95d2,4250,5008,4266,5026
15,Torculus Episema a,m-9ad20c04-23b8-41ac-b021-35fa0d5cd191,997,6305,1054,6360
15,"Liquescent Clivis aug., Ancus Episema a",m-c61c73c0-7654-4594-8da2-14a0d268b631,4299,5548,4335,5602
15,Virga Episema,m-f25769d6-a456-479b-8d22-218e12be8bd7,3209,6307,3267,6377
15,Virga Simple,m-761eebc2-481d-4a06-ab5c-0f2d1e324ab3,3824,6313,3886,6365
15,Tractulus Simple,m-4add0a2f-3c97-4d92-bc3e-ee4833abcbf5,1144,6389,1174,6403
15,Punctum Simple,m-87a5a54b-3825-431f-b376-4226fe7f48d1,4902,6346,4916,6360
15,Virga strata (or with Punktum: Pressus maior) Simple,m-9def5a15-83ab-4aeb-8bc1-b0ba13040e58,4276,6024,4334,6073
15,Punctum Simple,m-3042d932-df1f-48a9-9633-170859c0c588,4660,6033,4680,6050
15,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-40086059-b669-480b-aea2-f4e65c0c50d1,1940,6012,1977,6042
15,Tractulus Simple,m-d8ec9415-7e8a-4359-a1bd-e64b95c72e37,1184,5991,1219,6001
15,Virga Simple,m-2f026dac-f299-4d92-a668-b29547212fbc,1734,6328,1790,6382
15,Letter C,m-6c75f973-25a6-481f-b32c-b687fe4714fa,4224,5988,4245,6013
15,Tractulus Simple,m-fcf320b0-3f44-4ab3-b688-f850b5ab40b4,1267,5986,1304,6000
15,Punctum Simple,m-56ca77ed-f3af-4d28-8d20-77be6edc2352,2393,4951,2412,4970
15,Tractulus Simple,m-a897c2ba-80b2-45cc-ae0e-69485882367b,1747,6018,1768,6030
15,Quilismapes subbipunctis (with Punctum-components) Quilismapes sub.-teil two,m-ebcdf554-5736-46a8-a051-921fd99ae6cd,4564,5974,4668,6045
15,Clivis Episema c,m-82d3f0ad-cb8e-4953-826c-e38444969507,3023,6313,3074,6376
15,Clivis Simple,m-b038a40e-d4d9-4fa2-a24e-b819e95fc710,3624,6347,3671,6400
15,Punctum Simple,m-167125cf-ff60-43f0-ab01-05e3e134907d,1405,5668,1423,5684
15,Clivis Episema c,m-da653a7e-83f4-4c5f-a053-7f776dd2fa8a,4590,6067,4655,6126
15,Virga Episema,m-cc741c1a-36ca-4543-9b51-52d622eec5a3,4073,6299,4092,6316
15,Pes Quassus,m-5f8d2034-6038-4987-a773-3c23b300336b,3305,5587,3391,5657
15,Pes Quadratus Episema,m-8595db22-52df-451d-939a-24e5219a24b6,3084,6297,3181,6375
15,Clivis Episema c,m-f46fc879-8f8a-4c58-82ee-268fd37f35ab,4472,5656,4532,5718
15,Tractulus Simple,m-b73357ee-9eda-4fd0-b5e5-ae0ef9209244,3143,6370,3183,6385
15,Virga Episema,m-2b00de43-e3df-4cba-aa9b-72610629ecbf,3053,5960,3116,6035
15,Quilismatorculus Simple three,m-1312f2ec-3ac4-4bbb-902c-1f3945fa3fef,4000,5945,4117,6022
15,Virga Episema,m-f5c26e16-99c3-4808-9694-517a0dacd1a2,4486,6306,4541,6371
15,Letter C,m-5423c5da-4e00-4c7e-baef-33ff4531422c,2441,6268,2458,6298
15,Tractulus Simple,m-20eca177-35a3-4811-b373-885b43de8f83,2225,5666,2266,5686
15,Virga Episema,m-f4eafae8-7fad-4a4d-a431-b59ed0ff4788,4181,4939,4267,5021
15,Clivis Episema c,m-dd469003-34ba-430c-a64c-50f14771908a,2244,5698,2315,5768
15,Torculus gedreht a (nicht kurrent),m-13eb4146-f687-4227-bdba-8f83d5ff356b,1385,6272,1469,6333
15,Tractulus Simple,m-f4907da5-5136-4fac-a0b8-168cc2b64e78,2876,5984,2908,5997
15,Tractulus Simple,m-fcac0185-7ea9-486c-a05a-ca87e113a919,1272,6006,1310,6022
15,Virga Simple,m-0d087f7e-7c29-4379-b1e6-6c222e207798,4716,5994,4748,6026
15,Pes Quadratus Episema,m-b21d62f9-cacf-4424-8acd-139fd72e2cf6,3786,5993,3881,6070
15,Quilismatorculus resupinus Simple,m-8d669fc3-d865-4e25-b432-94f963a974b0,2293,5595,2438,5677
15,Clivis Episema c,m-3593ca1c-3101-4274-8f13-02b8c6f60285,4333,4946,4432,5015
15,Virga Episema,m-7f031b8f-13d7-4d69-9184-fa04fe6ccfec,3305,6306,3348,6363
15,Punctum Simple,m-fa1a38ee-3ca9-4f1a-b4f2-d257fb3405e0,4227,4983,4245,5005
15,Pes Rotundus Episema,m-1bf9810a-8069-4fee-b82d-0b95c14252bb,2333,4900,2438,4990
15,Punctum Simple,m-b24066aa-e58b-4000-afd7-99c5958b1541,2417,4967,2433,4987
15,Virga Simple,m-1d5addb2-ac04-48e9-bd8b-a5746f983e72,2549,6317,2587,6352
15,Torculus Simple,m-ba6f3776-11c7-451a-bf61-18813b6e8786,4131,5923,4199,5978
15,Letter I,m-2aa222ba-2a11-4fcd-99da-e3ab0e53a103,1498,6361,1520,6390
15,Torculus Episema a,m-fe75bbf5-7d03-4bf8-a2c7-e2bb546a4ecf,1136,5929,1213,5992
15,Clivis Simple,m-605aea49-3705-4359-8a6b-eebecfb3868b,4176,6032,4217,6087
15,Virga Simple,m-dea14d58-6631-46ef-b52f-e277f519eeb1,2834,6318,2890,6378
15,Letter T,m-000cb1ba-1747-41b4-9ce8-4b356af3f83b,1158,5531,1183,5563
15,Torculus gedreht a (nicht kurrent),m-c451ce88-182b-480a-acd0-d0e214367681,3382,6287,3460,6346
15,Pes Rotundus Episema,m-a876f3cd-6820-46e1-a53b-055c99a0b8c3,1771,5570,1864,5656
15,Clivis Episema c,m-b65cc41f-5357-4987-aae1-cca4f211d7c3,4966,6288,4986,6319
15,Oriscus Oriscus in Salicus b,m-c14c46c8-9c33-4a09-8e3d-68768be0b1a2,1430,5617,1469,5651
15,Porrectus Simple,m-4b524723-b794-46c6-b85e-3ad9b13959fb,4718,5621,4819,5691
15,Clivis Simple,m-c59b7d0e-4240-46de-bba3-d486bd882e4f,1335,6284,1381,6340
15,Tractulus Simple,m-0eef44a2-3cea-4fec-be2f-4f38e6e17b27,3004,6024,3040,6035
15,Virga Simple,m-5f66c0dd-42dc-4494-82a6-5644bf931c2e,1821,6314,1883,6371
15,Quilismapes Simple three,m-7ac0def7-99aa-42bd-8a58-5543498f2ab7,4107,6282,4177,6309
15,Virga Simple,m-d07e0b59-67ee-44e2-a76f-3458533967c1,2492,4912,2563,4978
16,Tractulus Simple,m-2cef5988-23e8-4799-944a-d0fc4608e0a2,3756,5682,3786,5697
16,Tractulus Simple,m-c1df7bd6-9cad-43db-9568-8551a62b2fb5,2834,2143,2862,2156
16,Quilismatorculus Episema three,m-213f973e-a9d6-4585-a85a-95496f566d4f,4981,2029,5124,2126
16,Clivis Episema c,m-dfc5675c-5c37-4272-817e-1139b8863288,4204,5690,4270,5757
16,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-4c7aa647-61ec-4107-a8fa-c0ccaa641301,2410,4937,2463,5014
16,Virga Episema,m-4891502c-e632-4ecb-b2ca-140efa1ecddd,2263,4896,2315,4970
16,Tractulus Simple,m-20a52847-8f0c-4fce-9f1b-636a71f97d3d,5047,2883,5076,2897
16,Pes Rotundus,m-d9215fcb-1b96-4388-bbeb-d7e100368eec,4750,4269,4796,4308
16,Tractulus Simple,m-d37cac45-e46c-447f-8cd1-f73f6afb7162,2847,3912,2876,3925
16,Tractulus Simple,m-368e1616-2b20-46f4-8a52-ad074ec43dc7,2577,749,2604,765
16,Tractulus Episema,m-7a05d9f7-f0de-498b-bc45-1741160917db,2995,2883,3037,2904
16,Pes Quadratus,m-3bcac2cc-6fdc-4c60-a206-53d971d5ddd6,2517,3194,2606,3274
16,Punctum Simple,m-188b53bd-69c8-4b5f-a9ca-00013774e751,5572,4301,5590,4315
16,Torculus Simple,m-c6a961b7-2234-4fc6-a58c-a15fa6e5999f,3705,1071,3778,1127
16,Tractulus Simple,m-87dae085-5a72-4a3a-acd7-c2bc56a3506a,2231,5647,2267,5659
16,Clivis Episema c,m-2dd11253-c023-4018-9c22-bd248c06808c,5116,2111,5181,2175
16,"Liquescent Clivis aug., Ancus Simple a",m-ed6b9c2e-3902-471a-b56a-f6a7700306b6,2687,3874,2760,3934
16,Punctum Simple,m-9b068ff2-4431-4a67-85dc-1d326f7af0e8,5124,6375,5139,6391
16,Tractulus Episema,m-d29ec314-f951-438b-be48-ce688b6ec3fd,2978,2847,3012,2864
16,Torculus Simple,m-e9e58ffc-1292-4e99-9ea1-b5295fa60b58,2747,5981,2812,6034
16,Punctum Simple,m-9d513722-de2b-47af-871d-00ad0ed55c3d,2996,3227,3014,3243
16,Letter I,m-e2d66aac-a864-46ca-a0d8-acc97a284424,4533,2536,4558,2566
16,Clivis Episema c,m-0f6e12e2-e3a2-4910-9cc6-5f29328373f3,2401,1760,2450,1825
16,Punctum Simple,m-cbbdb45f-1564-418a-83d7-aab5be28567f,1704,1059,1723,1076
16,Punctum Simple,m-bc97355a-c723-4565-8392-4785439942b3,4599,6026,4618,6040
16,Letter E,m-9d32c5f0-4a6f-49a5-bccb-9b00ecc9e07b,4449,5659,4682,5707
16,Virga Simple,m-127a29af-3706-4dc9-b3b3-26485040236a,2167,3446,2208,3476
16,Clivis Episema c,m-cad1742a-8782-4cfa-996d-eb769b5f2bcb,3003,3561,3079,3631
16,Torculus Simple,m-00ded016-aded-4628-9461-84083a1d5f47,4876,2843,4940,2898
16,Punctum Simple,m-b48e5233-d12b-4c5e-bd8d-0b233e6c76ca,3913,5350,3930,5369
16,Tractulus Simple,m-cf9b93b3-7e27-4158-b8d2-8489cd4adde3,2818,3583,2851,3598
16,Tractulus Episema,m-7d9af5d1-628a-49ce-8b48-07549017541a,2640,2507,2678,2530
16,Letter C,m-5e5c11f7-8e6e-4f39-9dec-5dc7911813ff,5021,2781,5051,2817
16,Tractulus Simple,m-1f5947f2-7671-4e7a-a373-cfda6c0c9d10,2981,4950,3020,4965
16,Torculus Episema a,m-abf0d81e-1022-4879-9c05-84d680f3c186,3090,5640,3169,5698
16,Clivis Episema c,m-032f30b9-4800-482a-8679-2b01b9208fae,4992,2469,5055,2538
16,Virga strata (or with Punktum: Pressus maior) Simple,m-fac44533-3c04-4d52-9ca8-d6f5b48f917e,4960,2823,5011,2874
16,Tractulus Episema,m-0d9e5cc9-1da3-40e4-b0b0-68ba45d34753,1594,3209,1637,3233
16,Pes Rotundus,m-211e1635-7f56-47ad-9987-21cce2ace4aa,2417,4226,2503,4293
16,Clivis Simple,m-97e83b5b-0895-4c2f-9aa2-a59a26984617,2642,5999,2686,6055
16,Clivis Episema c,m-7c22d66e-76c0-42ac-952e-684ca4cfc195,4371,1811,4435,1875
16,Punctum Simple,m-13bb54cd-3bff-4efc-a75c-f0fb03f2ea96,2439,2495,2457,2512
16,Torculus Simple,m-c134e56e-3b25-4917-add4-2639e42a062f,4425,1729,4484,1777
16,Tractulus Simple,m-0848916c-7bb3-4005-8a69-d718790cd676,2681,4983,2712,4997
16,Tractulus Simple,m-49bf214c-4b67-46ca-94b4-fad3a03d430e,2271,4633,2299,4646
16,Virga Episema,m-0e2d5e54-09b6-4e58-9f97-22f33f4f31df,1942,4902,2013,4982
16,Punctum Simple,m-a9aaa793-bcf0-4894-97e7-ee5609c76ac2,5350,2463,5366,2478
16,Tractulus Simple,m-5f122e90-61db-4163-8e96-91b927449e96,4278,4646,4310,4658
