pagen,neume,id,ulx,uly,lrx,lry
15,Virga Simple,m-c63a82a5-cfb0-4a13-b368-19b934741227,1196,4974,1258,5034
15,Punctum Simple,m-88636eed-2bd4-4592-8a66-ce790a5463bd,2393,4951,2412,4970
15,Punctum Simple,m-2efabfe2-8b3a-4f52-9b7d-8893dff0849b,2417,4967,2433,4987
15,Virga Simple,m-3ca387ae-8917-4a35-96c1-34cafb804739,2492,4912,2563,4978
15,Torculus Episema b,m-eecfe360-63c5-4587-9507-fed775e9216d,4041,4976,4122,5033
15,Letter L,m-6ad9ed8e-baf4-46ce-b2e7-910ef5064c5f,4096,4886,4124,4940
15,Virga Episema,m-9b7521cf-bffc-4d21-8dc4-605f90093612,4181,4939,4267,5021
15,Punctum Simple,m-ab6fed80-306a-4361-8995-58088c7047ca,4227,4983,4245,5005
15,Punctum Simple,m-d53cf595-53e9-41b3-9d0c-d9ad2643ed8c,4250,5008,4266,5026
15,Clivis Episema c,m-c9a733f9-14d0-4fea-8b9b-794abafc4060,4333,4946,4432,5015
15,Pes Rotundus Episema,m-c0936618-e42b-4a75-9128-6a5a49ec90ee,2333,4900,2438,4990
15,Virga Simple,m-0ec6190f-9915-4876-a570-b9d75a3bcb17,785,5616,843,5664
15,Torculus Simple,m-e006ec5d-0839-40c1-bc2c-ce65da565ed0,1103,5574,1206,5653
15,Letter T,m-36331989-66c7-4af8-9c23-7cbcef8ab432,1158,5531,1183,5563
15,Quilismapes Simple three,m-63c411f5-2bdb-43f5-b81b-ef02dec92f67,1220,5559,1346,5611
15,Punctum Simple,m-a5eac252-9628-4230-8a2e-e782891947f5,1405,5668,1423,5684
15,Oriscus Oriscus in Salicus b,m-1986450d-a9ab-4597-a292-97cace6f3be3,1430,5617,1469,5651
15,Virga Simple,m-24e9cfe3-6022-40f2-a495-c84b8281d089,1486,5550,1555,5608
15,Tractulus Simple,m-b6b25478-ead9-42aa-89e1-b0ff011cbdce,1627,5636,1657,5650
15,Pes Rotundus Episema,m-ee75d90d-127d-4d77-af56-78b268d2ed68,1771,5570,1864,5656
15,Clivis Episema c,m-efcd12f8-66a9-4d24-bfb1-46b58c0a9135,1852,5558,1910,5629
