pagen,neume,id,ulx,uly,lrx,lry
15,Virga Simple,m-75f8353c-4922-42af-87bb-b6b535a56578,1196,4974,1258,5034
15,Punctum Simple,m-f6ae4fa0-978d-4aff-b38b-875934dfcd3b,2393,4951,2412,4970
15,Punctum Simple,m-fd4769c5-0ef8-4ef4-98c2-ba7ffa57955f,2417,4967,2433,4987
15,Virga Simple,m-80af4d1f-7234-4924-92ed-5b564c7de165,2492,4912,2563,4978
15,Torculus Episema b,m-121a2960-1f46-40e3-ae53-a87fd6ce6e5d,4041,4976,4122,5033
15,Letter L,m-775e35c0-df1e-4103-8351-11f5ddb05c98,4096,4886,4124,4940
15,Virga Episema,m-7b6ec587-bd04-488f-bfe1-7018371ccbbb,4181,4939,4267,5021
15,Punctum Simple,m-bd5e58cd-07d9-4ba6-947e-68f0adb6ea81,4227,4983,4245,5005
15,Punctum Simple,m-46a644ea-75fa-4e4f-99a6-fb6d980d62fb,4250,5008,4266,5026
15,Clivis Episema c,m-bcff230e-c15b-4c64-9080-fef463b528a1,4333,4946,4432,5015
15,Pes Rotundus Episema,m-320d7ded-9318-4fb9-aa5f-c0c1f1d51cb5,2333,4900,2438,4990
15,Virga Simple,m-cb58a259-e4bb-4483-8eca-f2df15b9ee83,785,5616,843,5664
15,Torculus Simple,m-66da834d-7dc9-47ad-829f-a604897b3590,1103,5574,1206,5653
15,Letter T,m-65c2319c-d3d4-4880-b628-648c0598be32,1158,5531,1183,5563
15,Quilismapes Simple three,m-1a8b2928-04e1-4c97-9892-5857e3794be7,1220,5559,1346,5611
15,Punctum Simple,m-a4906da3-86a9-49f5-8356-0f615ca050da,1405,5668,1423,5684
15,Oriscus Oriscus in Salicus b,m-cdc7c763-36d5-439e-9d3b-1fd15f1e83f5,1430,5617,1469,5651
15,Virga Simple,m-332c0c4e-64d9-49cf-9b94-07aef2c4e11d,1486,5550,1555,5608
15,Tractulus Simple,m-018b1fd3-047c-4d7f-8e12-e62eb509825d,1627,5636,1657,5650
15,Pes Rotundus Episema,m-38520604-e12a-4f68-a856-21f86fb7e3b8,1771,5570,1864,5656
15,Clivis Episema c,m-31d5b3b8-5899-46b4-8988-baa842cabb42,1852,5558,1910,5629
15,Tractulus Simple,m-abcc75bd-0aa7-4e0d-8670-2d47698e87b8,2134,5648,2170,5664
15,Virga Episema,m-a5dff95f-5c50-44a5-874d-03563dc8743c,2186,5600,2253,5672
15,Tractulus Simple,m-880e507d-7fab-4568-a1df-fcebd51c86b2,2225,5666,2266,5686
15,Quilismatorculus resupinus Simple,m-afa36bb3-8406-43f7-a56f-d85071410115,2293,5595,2438,5677
15,Virga Simple,m-fd78978b-a1e9-4f2f-8a17-a63166908fb1,2584,5616,2646,5680
15,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-6719db54-c1cf-451b-b3fd-171f519601ca,2779,5595,2836,5670
15,Tractulus Simple,m-f3b56895-b6a4-464e-98bb-767d6555493a,3083,5648,3114,5661
15,Clivis Simple,m-5553cc3c-1909-4ef1-84fe-625ac68b0bb3,3240,5605,3287,5666
15,Pes Quassus,m-918d83d4-a412-47f8-81a8-a009c3fd9843,3305,5587,3391,5657
15,Clivis Simple,m-82fb89ff-68cb-4326-93c9-1388e351aae9,3755,5644,3780,5696
15,Virga Episema,m-61bd815a-4669-46dd-b4ca-9260b3c55f7f,4106,5607,4161,5675
15,Torculus Episema a,m-e8b59a33-d7ab-4b73-8b11-96358c2a42bd,4180,5564,4251,5621
15,"Liquescent Clivis aug., Ancus Episema a",m-8f83a979-f2b6-4aed-8990-4633b05c4f9a,4299,5548,4335,5602
15,Clivis Episema c,m-8314f34c-dd04-4661-affa-badc456aadbd,4472,5656,4532,5718
15,Letter L,m-3a0e24e2-af6f-40cf-add9-672bc6c1c1ea,4735,5551,4760,5601
15,Torculus Episema a,m-b6737bdc-d4b2-4bf2-ac1e-449b52d160ae,2083,5593,2153,5653
